date,lat,lon,value
12/17/2018 7:23:00,-34.890139,-60.095395,Ráfagas y/o vientos intensos
12/17/2018 8:12:00,-34.590672,-61.025472,Ráfagas y/o vientos intensos
12/17/2018 8:24:00,-34.493243,-59.056998,Lluvias intensas
12/17/2018 8:46:00,-35.022670,-58.460901,Lluvias intensas
12/17/2018 5:00:00,-34.827799,-57.983381,Lluvias intensas
12/17/2018 4:00:00,-34.916753,-57.990094,Ráfagas y/o vientos intensos
12/17/2018 9:41:00,-34.575093,-58.468004,Lluvias intensas
12/17/2018 10:26:00,-34.679319,-58.479965,Ráfagas y/o vientos intensos
12/17/2018 9:00:00,-34.590672,-61.025472,Lluvias intensas
12/17/2018 13:20:00,-34.894606,-57.930248,Ráfagas y/o vientos intensos
12/17/2018 16:00:00,-34.735005,-58.500745,Lluvias intensas
12/17/2018 10:30:00,-35.266432,-59.650633,Lluvias intensas
12/17/2018 10:30:00,-35.266432,-59.650633,Ráfagas y/o vientos intensos
12/20/2018 0:09:00,-33.145737,-68.498763,Granizo
12/20/2018 17:39:00,-31.399344,-64.334431,Lluvias intensas
12/19/2018 23:50:00,-32.896111,-68.443300,Granizo
12/20/2018 5:15:00,-32.746207,-61.835721,Lluvias intensas
12/20/2018 12:50:00,-35.515584,-58.357484,Lluvias intensas
12/20/2018 15:00:00,-34.615744,-58.573385,
12/20/2018 14:57:00,-34.762761,-58.405322,Lluvias intensas
12/20/2018 15:23:00,-34.702165,-58.460278,Granizo
12/20/2018 15:22:00,-34.721907,-58.415920,Lluvias intensas
12/20/2018 16:07:00,-31.522353,-61.721750,
12/20/2018 16:42:00,-34.759336,-58.401878,Lluvias intensas
12/20/2018 16:26:00,-34.887408,-58.416186,Lluvias intensas
12/20/2018 16:49:00,-34.742760,-58.400243,Lluvias intensas
12/20/2018 16:55:00,-33.008155,-58.618473,Lluvias intensas
12/20/2018 17:03:00,-32.350920,-65.025301,Lluvias intensas
12/20/2018 17:33:00,-34.687953,-58.598915,Lluvias intensas
12/20/2018 17:13:00,-32.077224,-64.574820,Granizo
12/20/2018 16:30:00,-27.396292,-55.994557,Ráfagas y/o vientos intensos
12/20/2018 18:45:00,-35.826135,-61.928771,
12/20/2018 20:10:00,-34.596379,-58.476288,Lluvias intensas
12/20/2018 16:23:00,-32.607518,-60.956971,
12/20/2018 16:00:00,-34.615744,-58.573385,Lluvias intensas
12/20/2018 19:45:00,-34.560191,-58.483823,Lluvias intensas
12/20/2018 22:12:00,-27.454983,-55.896709,Ráfagas y/o vientos intensos
12/20/2018 15:46:00,-34.702165,-58.460278,Lluvias intensas
12/21/2018 9:09:00,-37.268410,-57.021249,Lluvias intensas
12/21/2018 8:39:00,-26.820054,-54.965523,Granizo
12/21/2018 8:15:00,-26.991827,-65.460907,Lluvias intensas
12/21/2018 3:48:00,-26.832842,-65.292635,Lluvias intensas
12/20/2018 18:44:00,-34.765593,-58.415259,Lluvias intensas
12/21/2018 17:18:00,-23.607293,-65.404091,Lluvias intensas
12/20/2018 17:05:00,-34.779774,-58.330005,Lluvias intensas
12/25/2018 20:55:00,-32.928818,-68.884726,Lluvias intensas
12/25/2018 22:18:00,-33.192073,-68.628009,Rayos y/o truenos
12/25/2018 22:31:00,-33.179288,-68.624185,Rayos y/o truenos
12/26/2018 9:49:00,-38.941214,-68.185441,Lluvias intensas
12/25/2018 20:45:00,-32.899999,-68.758755,Granizo
12/25/2018 23:41:00,-32.883330,-68.893539,Lluvias intensas
12/25/2018 20:47:00,-32.9121388,-68.8763206,Lluvias intensas
12/25/2018 22:53:00,-32.883258,-68.893539,Granizo
12/25/2018 22:45:00,-32.865052,-68.872370,Granizo
12/25/2018 22:09:00,-33.000095,-68.937010,Granizo
12/25/2018 20:30:00,-33.2995097,-68.0511007,Lluvias intensas
12/25/2018 20:30:00,-32.951320,-69.218615,Lluvias intensas
12/25/2018 20:52:00,-33.183963,-68.497442,Granizo
12/25/2018 21:00:00,-32.980907,-68.885656,Granizo
12/25/2018 23:42:00,-33.145773,-68.490008,Lluvias intensas
12/25/2018 23:42:00,-33.071950,-68.546706,Lluvias intensas
12/25/2018 23:42:00,-33.153656,-68.359363,Rayos y/o truenos
